Наименование ДП,Итого,"Макс. ПДЗ за 2020 год, дней","Сред. ПДЗ за 2020 год, дней","Кол-во просрочек свыше 5-ти дней за 2020 год, шт.","Общая сумма ПДЗ свыше 5-ти дней за 2020 год, руб.","2019, Основные средства , RUB","2016, Заёмные средства (долгосрочные), RUB","2017, Заёмные средства (долгосрочные), RUB","2018, Заёмные средства (долгосрочные), RUB","2019, Заёмные средства (долгосрочные), RUB","2017, Долгосрочные обязательства, RUB","2018, Долгосрочные обязательства, RUB","2019, Долгосрочные обязательства, RUB","2018, Краткосрочные обязательства, RUB",Факт просрочки
34,20.0,17,17.0,1,2036519.541401274,713812738.8535031,364331210.1910828,122292993.6305732,805995541.4012738,39351592.3566879,177884076.433121,960260509.55414,246130573.2484076,864162420.3821656,True
35,20.0,0,0.0,0,0.0,164794267.5159236,0.0,0.0,10391719.74522293,0.0,2503821.656050955,12759235.66878981,2243949.044585987,269185350.3184713,False
36,0.0,0,0.0,0,0.0,168154777.0700637,0.0,0.0,0.0,0.0,3741401.27388535,4683439.49044586,6159872.611464968,239852866.2420382,False
37,30.0,2,1.7,0,0.0,648532484.0764331,4791339490.44586,1774678980.89172,0.0,2938853503.184713,1794775796.178344,8542038.216560509,3839707643.312102,10385077070.06369,True
38,30.0,5,4.666666666666667,0,0.0,732549044.5859872,261707643.3121019,395384713.3757961,455742038.2165605,610729299.3630573,589096815.2866242,701892356.687898,802043312.1019108,337350318.4713376,True
39,20.0,23,7.568181818181818,24,52352862.57961782,210656050.955414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752063694.2675159,True
40,20.0,3,1.4,0,0.0,25912101.91082802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89315923.56687897,True
41,90.0,0,0.0,0,0.0,615731847.133758,0.0,0.0,249331210.1910828,268789808.9171975,109541401.2738853,404966242.0382165,650186624.2038217,4884794267.515924,False
42,60.0,0,0.0,0,0.0,681286624.2038217,968381528.6624204,605095541.4012738,1676690445.859873,0.0,1189780254.77707,2144213375.796178,731019108.2802547,5664289171.974522,False
43,270.0,3,1.285714285714286,0,0.0,7257622929.936305,28212041401.27388,36275928662.42038,30246073248.40764,0.0,37951504458.59872,35876050955.41401,2031764331.210191,73312723566.87898,True
44,20.0,1,1.0,0,0.0,54534394.9044586,26448407.6433121,12287898.08917197,24466242.03821656,24196178.34394904,12287898.08917197,24466242.03821656,24196178.34394904,11755414.01273885,True
45,40.0,25,5.590909090909091,5,2021038.152866242,83367462420.38216,34854773885.35032,10007145222.92994,12179130573.24841,10782043949.04459,11190498726.11465,13387908280.25478,12440570063.69427,4152836305.732484,True
46,70.0,0,0.0,0,0.0,14810321656.05096,0.0,0.0,0.0,0.0,3181551592.356688,3633145222.929936,7207642675.159235,2463273885.350318,False
47,0.0,12,6.0,1,481414.0127388535,691885350.3184713,0.0,0.0,0.0,0.0,15025477.70700637,15266878.98089172,18253503.18471337,257099363.0573248,True
48,100.0,309,299.9090909090909,11,3702965.439490446,852494267.5159235,0.0,0.0,2385401910.828025,2433445222.929936,40570700.63694268,2781398089.171974,3068542038.21656,5847914012.738853,True
49,10.0,18,8.23404255319149,29,12958986.87898089,1478232484.076433,968485987.2611464,1464968152.866242,713375796.1783439,0.0,1788605095.541401,920266242.0382164,434215923.566879,5393377070.063694,True
50,20.0,0,0.0,0,0.0,153161146.4968153,25405732.48407644,89167515.92356688,123964968.1528662,46639490.44585987,103945222.9299363,137820382.1656051,61981528.66242038,171029299.3630573,False
51,10.0,42,24.0,3,2033315.541401274,8802056687.898088,0.0,52356050.95541401,0.0,3537579.617834395,340215286.6242038,401248407.6433121,299536305.732484,13151957324.84076,True
52,30.0,12,8.0,1,382340.9936305732,0.0,322592993.6305732,265605095.5414013,573248407.6433121,0.0,331686624.2038217,652022929.9363058,0.0,942568152.866242,True
53,50.0,0,0.0,0,0.0,1411301273.88535,2541822292.99363,6861596815.286624,8041848407.643311,4318382802.547771,11146857961.78344,10873599363.05732,10615998726.11465,7437226114.649681,False
54,140.0,165,53.83516483516483,87,201788436.1719746,2101450955.414013,0.0,0.0,1557905095.541401,533526114.6496815,24304089171.97452,20016920382.1656,20522205095.5414,22440700000.0,True
55,20.0,5,1.814814814814815,0,0.0,3705095.541401274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24678343.94904459,True
56,10.0,4,4.0,0,0.0,69447770.70063694,0.0,0.0,0.0,27650318.47133758,8091719.74522293,7397452.229299363,34654777.0700637,41585987.26114649,True
57,240.0,0,0.0,0,0.0,0.0,5451438853.503184,7061373248.407643,0.0,0.0,28175557324.84076,0.0,0.0,0.0,False
58,30.0,0,0.0,0,0.0,97452.22929936304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036942.675159236,False
59,10.0,14,3.886178861788618,34,57049638.01273884,74985350.31847133,0.0,0.0,0.0,0.0,1210828.025477707,1187261.146496815,34596178.34394904,197831210.1910828,True
60,80.0,28,27.5,2,2163419.006369426,0.0,19348611464.96815,23894282165.60509,0.0,0.0,55870895541.40127,30421182165.60509,0.0,43890962420.38216,True
61,150.0,28,17.22222222222222,7,16429598.98089172,7850396178.343948,2889152229.299363,2734606369.426752,2721175159.235669,3221526114.649682,57382840764.33121,72370382802.54778,82673901273.88535,5660543312.101911,True
62,230.0,0,0.0,0,0.0,32451718471.33758,41441205095.5414,49709389808.9172,51685675159.23566,42198080891.71974,63328505095.5414,63803973248.40764,48277734394.90446,33984194904.4586,False
63,20.0,7,7.0,2,3529581.401273885,958427224840.7644,43588756050.95541,31875421019.10828,13092584076.43312,5220108917.197452,91277853503.18472,86916148407.64331,79561909554.14012,61884838853.50318,True
64,10.0,5,5.0,0,0.0,26157961.78343949,26201910.82802548,25364331.21019108,19852229.29936305,19852229.29936305,26359235.66878981,20859235.66878981,19858598.72611465,271774522.2929936,True
65,220.0,6,4.0,1,620850.9554140127,12559147770.70064,2532310828.025477,7003870700.636943,4304835031.847134,5469090445.859873,50005219745.22293,54297519745.22293,62765397452.22929,38110189808.9172,True
66,70.0,78,22.85714285714286,2,1413409.222929936,2842620382.165605,1600737579.617834,394719108.2802548,302129299.3630573,1865590445.859873,3996200000.0,7777691082.802547,10315212101.91083,7508454140.127388,True
67,20.0,0,0.0,0,0.0,16721170063.69427,196433121.0191083,0.0,0.0,0.0,216635228025.4777,248172191082.8025,301299969426.7516,36599000636.94267,False
68,10.0,73,68.0909090909091,22,12635071.33757962,1612022929.936306,559872611.4649681,318471337.5796178,348407643.3121019,0.0,326010191.0828025,749245222.9299363,594417197.4522293,5059392356.687898,True
69,30.0,0,0.0,0,0.0,0.0,122038216.5605096,122038216.5605096,121977707.0063694,0.0,122377070.0636943,122313375.7961783,335668.7898089172,346928025.477707,False
70,50.0,34,8.05586592178771,71,22258185.18471337,1146110828.025478,0.0,0.0,0.0,0.0,-3247770.700636942,-878343.9490445859,96043312.10191084,6750266242.038217,True
71,30.0,3,1.8,0,0.0,652509554.1401274,2395263694.267516,0.0,1719745222.929936,0.0,21994267.51592357,1749494904.458599,52356687.89808917,2317427388.535032,True
72,110.0,67,67.0,1,0.0318471337579617,117231210.1910828,191638216.5605096,190554777.0700637,178182165.6050955,134442038.2165605,190554777.0700637,178182165.6050955,134442038.2165605,539823566.8789809,True
73,10.0,6,5.5,1,0.0063694267515923,515923.5668789809,6075796.178343949,0.0,0.0,0.0,0.0,0.0,0.0,213120382.1656051,True
74,20.0,0,0.0,0,0.0,159258598.7261146,0.0,78375796.17834395,81870063.69426751,81938216.56050955,78375796.17834395,81870063.69426751,81938216.56050955,97460509.55414012,False
75,20.0,8,3.0,2,1129246.72611465,818569426.7515923,265019745.2229299,235445222.9299363,401273885.3503184,0.0,282414012.7388535,449545222.9299363,44854140.12738854,1005405095.541401,True
76,10.0,12,2.663366336633664,10,3879395.942675158,825256050.9554139,0.0,0.0,0.0,0.0,24393630.57324841,27517197.4522293,34464968.15286624,142538853.5031847,True
77,10.0,4,3.0,0,0.0,4410605732.484076,0.0,0.0,0.0,0.0,309531210.1910828,285495541.4012738,290913375.7961783,1399871337.579618,True
78,80.0,16,3.725,9,5073354.414012739,281377707.0063694,495640764.3312102,504981528.6624203,582662420.3821656,508456050.955414,510194267.5159236,589551592.3566879,515005732.4840765,1875627388.535032,True
79,40.0,0,0.0,0,0.0,2424663057.324841,0.0,0.0,0.0,0.0,149050318.4713376,127489171.9745223,105500000.0,1026801910.828026,False
80,20.0,0,0.0,0,0.0,479896815.2866242,483729936.3057325,466213375.7961784,436545222.9299363,514150318.4713376,475144585.9872611,446809554.1401274,523887898.089172,234925477.7070064,False
81,10.0,14,5.14406779661017,50,10057839.01273885,87657324.84076433,7368152.866242038,7368152.866242038,7368152.866242038,8960509.554140126,15765605.0955414,14286624.20382166,17498089.17197452,64026751.59235668,True
82,20.0,44,11.43055555555556,40,16487434.73248407,30518471.33757961,50955414.01273885,58643312.10191082,58005095.54140128,54025477.70700637,58643312.10191082,58005095.54140128,54025477.70700637,31792356.68789809,True
83,10.0,3,1.714285714285714,0,0.0,70361783.43949044,0.0,0.0,75740127.38853502,102394904.4585987,0.0,76656050.95541401,103806369.4267516,95419108.28025477,True
84,30.0,18,5.111111111111111,6,16237424.33757962,227585862420.3822,273531671974.5223,280012682802.5477,362811883439.4904,336050343312.1019,324104252229.2994,402121008917.1975,362363974522.293,117400424203.8217,True
85,20.0,0,0.0,0,0.0,154051592.3566879,234650318.4713376,153117197.4522293,157889171.9745223,23035031.84713376,153400000.0,158281528.6624204,23317834.39490446,224814012.7388535,False
86,70.0,12,4.463414634146342,14,4697174.414012738,8693630.573248407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8325477.707006369,True
87,20.0,0,0.0,0,0.0,3452866.242038216,75763694.26751593,67026751.59235668,68475796.17834395,1596815.286624204,99263057.32484075,92836942.67515925,3750955.414012739,710784713.3757962,False
88,10.0,0,0.0,0,0.0,9414731210.191082,0.0,0.0,0.0,0.0,1385933757.961783,728167515.9235668,1091622292.993631,1472168789.808917,False
89,10.0,27,4.636363636363637,2,2387003.52866242,22833121.01910828,0.0,0.0,0.0,12025477.70700637,190445.8598726114,224840.7643312102,12278343.94904458,1092924840.764331,True
90,20.0,6,1.755102040816326,2,1532141.197452229,743949.0445859872,95541401.27388534,147507006.3694268,95541401.27388534,0.0,147731847.1337579,95593630.5732484,31847.13375796178,463609554.1401274,True
91,20.0,203,73.0,2,0.0254777070063694,18052866.24203822,0.0,0.0,0.0,0.0,2020382.165605096,2551592.356687898,3001273.885350318,14558598.72611465,True
92,20.0,5,1.863636363636364,0,0.0,525459235.6687898,0.0,0.0,0.0,0.0,54546496.81528662,52019108.28025477,52524203.82165605,988422929.9363056,True
93,10.0,0,0.0,0,0.0,287898.0891719745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30631847.13375796,False
94,30.0,11,11.0,1,30762.10191082802,152064331.2101911,0.0,0.0,0.0,0.0,5416560.50955414,6132484.076433121,8080891.719745222,614707006.3694267,True
95,20.0,25,6.988888888888889,35,13864390.98089172,21784076.43312101,60509554.14012738,57324840.76433121,57324840.76433121,51592356.68789808,57324840.76433121,57324840.76433121,51592356.68789808,15571974.52229299,True
96,20.0,11,6.611111111111111,12,18015833.9299363,25207006.36942675,0.0,6336942.675159236,1882165.605095541,0.0,6336942.675159236,1882165.605095541,180891.7197452229,55886624.20382165,True
97,10.0,17,15.5,2,2640048.52866242,43301365605.09554,0.0,0.0,0.0,0.0,1895415923.566879,2411861146.496815,9631648407.643312,6905297452.2293,True
98,0.0,0,0.0,0,0.0,219228025.477707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44363694.26751592,False
99,80.0,0,0.0,0,0.0,31081528.66242038,33356687.89808917,37636942.67515923,52012101.91082802,38717197.4522293,37640127.38853503,53247133.75796178,38717197.4522293,94090445.8598726,False
100,20.0,0,0.0,0,0.0,17477707.00636943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58802547.77070063,False
101,20.0,56,20.83582089552239,48,25170509.03821656,7412738.853503184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143389171.9745223,True
102,0.0,0,0.0,0,0.0,133210828.0254777,0.0,0.0,0.0,0.0,4685350.318471338,6459235.668789809,7112738.853503184,1690308917.197452,False
103,60.0,42,23.12121212121212,32,132788333.5859872,1726300000.0,0.0,0.0,0.0,0.0,69849044.58598725,36602547.77070063,62000000.0,12845143949.04459,True
104,10.0,16,6.75,6,3787473.248407643,566485350.3184713,0.0,0.0,0.0,0.0,9971337.579617834,21157961.78343949,24249044.58598726,315666878.9808917,True
105,10.0,0,0.0,0,0.0,219287898.089172,0.0,0.0,95477070.06369428,0.0,3796178.343949045,98729936.30573247,3566878.980891719,566463694.2675159,False
106,0.0,21,11.0,1,627138.1656050956,668152.8662420382,0.0,0.0,0.0,0.0,0.0,440127.3885350318,440127.3885350318,5249681.52866242,True
107,40.0,4,1.470588235294118,0,0.0,9940764.33121019,0.0,0.0,0.0,0.0,21656.05095541401,45222.92993630573,39490.44585987261,564361783.4394904,True
108,20.0,5,3.625,0,0.0,2356050.955414013,73248407.6433121,0.0,109872611.4649681,0.0,0.0,109883439.4904458,40764.33121019108,115119745.2229299,True
109,20.0,14,8.333333333333334,2,535638.8280254777,3149808917.197452,0.0,0.0,0.0,0.0,226336942.6751592,266470063.6942675,264178343.9490446,1668613375.796178,True
110,50.0,22,5.057142857142857,12,13049161.06369427,2238180254.77707,0.0,0.0,0.0,0.0,194752866.2420382,146957961.7834395,138784713.3757962,6999224840.764331,True
111,0.0,3,3.0,0,0.0,23942675.15923567,84012738.85350318,93630573.24840765,93630573.24840765,0.0,98294267.51592356,98105732.48407644,5424840.76433121,155160509.5541401,True
112,10.0,0,0.0,0,0.0,11919745.22292994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51561146.49681529,False
113,40.0,32,6.25,3,3230188.535031847,4052866.242038216,9554140.127388537,9554140.127388537,22484076.43312101,17324840.76433121,9554140.127388537,22484076.43312101,17324840.76433121,42475159.23566879,True
114,220.0,63,17.00892857142857,72,46276458.18471338,2231988535.031847,1279386624.203822,1042682802.547771,600136942.6751592,113208280.2547771,1250214649.681529,839832484.0764331,523659235.6687898,2166944585.987261,True
115,20.0,23,7.375,13,5707679.49044586,268091719.7452229,119436942.6751592,129661146.4968153,443183439.4904459,455668152.866242,157021656.0509554,472093630.5732484,482824840.7643312,489216560.5095541,True
116,20.0,0,0.0,0,0.0,991283439.490446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5911342038.21656,False
117,10.0,0,0.0,0,0.0,4121019.108280255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84083439.49044585,False
118,80.0,73,64.25,12,6498475.114649682,8780891.719745222,0.0,0.0,0.0,0.0,1497452.229299363,4582165.605095541,1870700.636942675,166417197.4522293,True
119,0.0,0,0.0,0,0.0,8001273.885350318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
120,10.0,1,1.0,0,0.0,81891082.80254777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182314012.7388535,True
121,20.0,23,4.875,14,8116624.254777068,74905732.48407643,59554140.12738853,8917197.452229299,31210191.08280255,28662420.3821656,18993630.57324841,55740127.38853503,49689808.91719745,149582165.6050955,True
122,20.0,8,5.5,3,636935.2356687898,12563694.26751592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87849681.52866241,True
123,20.0,2,2.0,0,0.0,334910828.0254777,0.0,0.0,0.0,0.0,789171.974522293,499363.0573248408,406369.4267515923,855913375.7961783,True
124,30.0,0,0.0,0,0.0,30072928662.42038,177510799363.0573,0.0,173294685350.3185,167979156687.8981,0.0,218657384713.3758,218470236942.6752,12638698726.11465,False
125,,33,8.035294117647059,27,7753839.452229299,9085350.318471337,0.0,100636.9426751592,8119108.280254777,4793630.573248408,112101.9108280255,8168789.808917197,4852866.242038216,180514012.7388535,True
126,60.0,457,144.375,5,2716416.07643312,76025477.70700637,0.0,0.0,0.0,0.0,4040127.388535032,211994904.4585987,178137579.6178344,3436926751.592357,True
127,10.0,226,78.0,2,72737.35031847133,525477.7070063694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60339490.44585987,True
128,30.0,7,2.888888888888889,2,878507.152866242,43780891.71974522,5582802.5477707,5149681.52866242,1245222.929936306,659235.6687898089,7889808.917197452,2756050.955414013,2875796.178343949,5267254777.070064,True
129,20.0,34,18.13888888888889,61,70309611.97452228,201306369.4267516,0.0,0.0,0.0,0.0,2310828.025477707,5236305.732484076,5288535.031847133,661523566.8789809,True
130,40.0,14,4.028409090909091,45,3378777.324840765,272482802.5477707,0.0,0.0,0.0,0.0,37398089.17197452,21132484.07643312,8855414.012738854,253627388.5350318,True
131,20.0,14,7.0,1,0.0509554140127388,32126751.59235669,163787261.1464968,72290445.85987261,187581528.6624204,130996815.2866242,72290445.85987261,187581528.6624204,130996815.2866242,399759235.6687898,True
132,20.0,0,0.0,0,0.0,68152.86624203822,0.0,0.0,13777070.06369427,13777070.06369427,0.0,13777070.06369427,13777070.06369427,333861783.4394904,False
133,40.0,0,0.0,0,0.0,65094010828.02548,7966322929.936305,18547830573.24841,34819145859.87261,26837579617.8344,26761034394.90446,43118821656.05096,36974042675.15923,23131185987.26115,False
134,20.0,78,22.44444444444444,47,21420394.83439489,44965605.0955414,47503184.71337579,38076433.12101911,44605095.54140128,125050955.4140127,42650955.41401274,49758598.72611465,130345222.9299363,194939490.4458599,True
135,60.0,20,5.739130434782608,8,3667931.853503185,12297543312.10191,11455410191.0828,11946701910.82803,11946701910.82803,10729504458.59873,12251061783.43949,12210610828.02548,11056319108.28025,11909882165.6051,True
136,20.0,1,1.0,0,0.0,6250955.414012739,17197452.22929936,22292993.63057325,23792993.63057325,13057324.84076433,22292993.63057325,23792993.63057325,13057324.84076433,20766242.03821656,True
137,50.0,28,9.0,4,4264366.611464968,18024896815.28662,1784652229.299363,43542675.15923566,0.0,1878980891.719745,444982802.5477707,364336305.732484,2211912738.853503,5249164968.152866,True
138,10.0,0,0.0,0,0.0,29135031.84713376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15079617.8343949,False
139,20.0,0,0.0,0,0.0,170557324.8407643,794291082.8025477,648450318.4713376,453892356.6878981,625107643.3121018,4088400636.942675,3107845859.872612,3706683439.490446,378598089.1719745,False
140,10.0,12,2.833333333333333,1,7744.261146496815,1391082.802547771,0.0,0.0,0.0,0.0,44585.9872611465,0.0,519108.2802547771,5838216.560509554,True
141,20.0,5,1.894736842105263,0,0.0,22784713.37579618,60191082.80254777,52547770.70063694,106687898.089172,79617834.39490445,52547770.70063694,110913375.7961783,81924840.7643312,287131210.1910828,True
142,10.0,36,11.875,6,0.0382165605095541,2381528.662420382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13558598.72611465,True
143,30.0,78,15.22142857142857,71,23046910.57961783,67512738.85350318,2064331.210191083,29299.36305732484,0.0,0.0,29299.36305732484,0.0,2986624.203821656,114819108.2802548,True
144,10.0,9,1.858870967741935,12,5389108.140127388,6470063.694267516,0.0,0.0,0.0,0.0,5095.541401273885,5095.541401273885,5095.541401273885,50290445.85987261,True
145,20.0,28,9.8,3,0.0318471337579617,0.0,32175796.17834395,21791719.74522293,26905732.48407644,24830573.24840764,21791719.74522293,26905732.48407644,24830573.24840764,29205095.54140127,True
146,10.0,23,5.088607594936708,20,19958019.33757961,37504458.59872612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50177707.00636943,True
147,10.0,12,12.0,2,2193598.828025478,71519745.22292994,0.0,0.0,0.0,0.0,2737579.617834395,2919745.222929936,2729936.305732484,21631847.13375796,True
148,10.0,8,3.372093023255814,8,3674955.184713376,50400000.0,0.0,0.0,0.0,2547.770700636942,103184.7133757962,328662.4203821656,887261.1464968153,108580254.7770701,True
149,110.0,18,3.157894736842105,2,976466.9044585988,72085987.2611465,0.0,0.0,0.0,0.0,0.0,0.0,97452.22929936304,272533757.9617834,True
150,20.0,2,2.0,0,0.0,270501910.8280255,95541.40127388536,95541.40127388536,579905095.5414013,487834394.9044586,95541.40127388536,579905095.5414013,487834394.9044586,948952866.242038,True
151,0.0,0,0.0,0,0.0,68071337.57961783,31821019.10828025,4983439.49044586,110953503.1847134,159235668.7898089,4983439.49044586,110953503.1847134,163092356.6878981,46108280.25477707,False
152,80.0,177,18.41379310344828,18,10040577.35031847,41040764.33121019,57907643.31210191,59370700.63694267,32633757.96178344,40224203.82165605,71000000.0,32638853.50318472,40229299.36305732,58559872.61146496,True
153,20.0,16,5.666666666666667,2,1726486.624203822,14638216.56050955,2776433.121019108,1824840.76433121,872611.4649681528,0.0,1975159.23566879,1022929.936305732,2947133.757961783,14007643.31210191,True
154,20.0,47,11.01652892561983,65,33941961.05732484,1415923.566878981,0.0,0.0,0.0,0.0,3184.713375796178,31210.19108280255,15923.56687898089,68283439.49044585,True
155,50.0,315,40.625,1,240754.8025477707,55078980.89171974,402375796.178344,434255414.0127388,501056687.8980892,597565605.0955414,434255414.0127388,501056687.8980892,597565605.0955414,377452866.2420382,True
156,20.0,1,1.0,0,0.0,155024203.821656,0.0,0.0,0.0,0.0,7498089.171974522,6975796.178343949,6866878.980891719,146334394.9044586,True
